coded_semel,semel,num,YESHUV_CODE,"prec_recruitment",total
582,729,91.05985865,4,0.640059701,58.28374595
810,366,90.99870036,4,0.640059701,58.24460099
146,90,90.86418913,4,0.640059701,58.15850577
679,204,90.85282867,4,0.640059701,58.1512344
408,132,90.5915001,4,0.640059701,57.98396851
631,585,90.34955978,4,0.640059701,57.82911226
241,1365,90.25274725,4,0.640059701,57.76714646
670,225,90.1962227,4,0.640059701,57.73096738
621,248,90.07821287,4,0.640059701,57.65543404
775,1419,89.6807048,4,0.640059701,57.40100514
716,620,89.66427547,4,0.640059701,57.39048939
383,735,89.50878505,4,0.640059701,57.29096624
571,428,89.45137881,4,0.640059701,57.25422282
374,607,89.45058043,4,0.640059701,57.25371181
907,71,89.29058482,4,0.640059701,57.15130507
659,170,89.07121798,4,0.640059701,57.01089719
263,4101,89.03722377,4,0.640059701,56.98913887
339,827,88.99276619,4,0.640059701,56.96068336
304,677,88.83294817,4,0.640059701,56.85839029
648,584,88.72469396,4,0.640059701,56.78910113
694,112,88.52183883,4,0.640059701,56.65926174
690,1024,88.40418084,4,0.640059701,56.5839536
593,701,88.21477682,4,0.640059701,56.46272372
587,197,88.00846564,4,0.640059701,56.33067225
539,256,87.92182182,4,0.640059701,56.27521503
271,553,87.51515152,4,0.640059701,56.01492176
729,79,87.43506422,4,0.640059701,55.9636611
299,764,87.09074279,4,0.640059701,55.74327483
518,674,86.98094048,4,0.640059701,55.6729948
520,708,86.86243654,4,0.640059701,55.5971452
274,1236,86.4609985,4,0.640059701,55.34020089
692,435,86.26116761,4,0.640059701,55.21229719
783,1323,86.26074676,4,0.640059701,55.21202782
654,97,85.62044054,4,0.640059701,54.80219361
135,373,85.35400347,4,0.640059701,54.63165798
722,374,85.23837209,4,0.640059701,54.557647
546,605,85.05187835,4,0.640059701,54.43827987
752,360,84.86335087,4,0.640059701,54.31761103
647,33,84.70358822,4,0.640059701,54.21535339
298,838,84.68431293,4,0.640059701,54.20301606
338,300,84.68005047,4,0.640059701,54.20028783
828,290,84.66660309,4,0.640059701,54.1916807
719,2002,84.63533169,4,0.640059701,54.17166514
827,779,84.25042015,4,0.640059701,53.92529877
708,732,84.23787336,4,0.640059701,53.91726808
232,4026,83.89004096,4,0.640059701,53.69463458
207,668,83.83847618,4,0.640059701,53.66163004
756,4021,83.54479911,4,0.640059701,53.47365918
494,255,83.51988995,4,0.640059701,53.45771583
411,807,83.51029252,4,0.640059701,53.4515729
844,463,83.03993694,4,0.640059701,53.15051725
886,292,82.96457946,4,0.640059701,53.10228396
174,135,82.79018981,4,0.640059701,52.99066418
801,433,82.78863372,4,0.640059701,52.98966819
400,430,82.58584666,4,0.640059701,52.85987236
190,3644,82.52281241,4,0.640059701,52.81952668
247,344,82.44099302,4,0.640059701,52.76715738
159,376,82.23655633,4,0.640059701,52.6363057
790,672,82.22794535,4,0.640059701,52.63079416
705,167,81.68927202,4,0.640059701,52.28601106
723,219,81.42433298,4,0.640059701,52.11643426
514,313,81.31632813,4,0.640059701,52.04730471
857,434,81.17802198,4,0.640059701,51.95878052
768,163,80.88201813,4,0.640059701,51.76932038
564,302,80.83463403,4,0.640059701,51.73899173
489,250,80.69983909,4,0.640059701,51.65271492
852,82,80.49754623,4,0.640059701,51.52323541
212,339,80.42902879,4,0.640059701,51.47938016
909,4702,80.40892901,4,0.640059701,51.4665151
306,18,80.26956434,4,0.640059701,51.37731339
759,682,80.08155907,4,0.640059701,51.25697879
35,567,80.00017159,4,0.640059701,51.20488595
381,866,79.6780003,3,0.640059701,50.99867709
626,3724,79.67045455,3,0.640059701,50.99384736
344,753,79.3696191,3,0.640059701,50.80129471
225,2060,79.30681045,3,0.640059701,50.76109342
154,1372,79.13855422,3,0.640059701,50.65339939
728,388,78.82099528,3,0.640059701,50.45014271
911,239,78.7847528,3,0.640059701,50.42694536
779,789,78.27815746,3,0.640059701,50.1026941
501,456,78.06940905,3,0.640059701,49.96908265
333,322,77.50748927,3,0.640059701,49.60942045
538,423,77.03451514,3,0.640059701,49.30668877
295,11,76.85771609,3,0.640059701,49.19352682
912,92,76.66502711,3,0.640059701,49.07019437
657,394,76.64879202,3,0.640059701,49.05980294
675,1208,76.25837122,3,0.640059701,48.80991032
754,2046,76.10251808,3,0.640059701,48.71015501
503,13,75.94982079,3,0.640059701,48.61241962
798,768,75.51556603,3,0.640059701,48.33447065
476,752,75.1910047,3,0.640059701,48.12673202
619,684,75.18001869,3,0.640059701,48.11970032
901,1275,74.9710441,3,0.640059701,47.98594411
559,1149,74.96538701,3,0.640059701,47.98232323
543,293,74.85030146,3,0.640059701,47.90866161
485,864,74.57793023,3,0.640059701,47.73432776
460,1110,74.29468242,3,0.640059701,47.55303225
806,811,74.06079677,3,0.640059701,47.40333147
406,304,74.00887603,3,0.640059701,47.3700991
897,301,73.93947826,3,0.640059701,47.32568038
804,367,73.93679002,3,0.640059701,47.32395975
734,4551,73.71796632,3,0.640059701,47.18389952
515,815,73.60286225,3,0.640059701,47.11022604
429,3565,73.54285714,3,0.640059701,47.07181919
623,3719,72.96085751,3,0.640059701,46.69930468
1,1203,72.86440059,3,0.640059701,46.63756649
913,795,72.51075015,3,0.640059701,46.4112091
898,3656,72.36155606,3,0.640059701,46.31571597
655,2023,72.2720076,3,0.640059701,46.25839961
506,1272,72.21616636,3,0.640059701,46.22265788
522,809,72.14550519,3,0.640059701,46.17743052
513,460,71.61696649,3,0.640059701,45.83913419
301,270,71.57080275,3,0.640059701,45.80958664
855,1145,71.32960894,3,0.640059701,45.65520821
504,104,71.24020859,3,0.640059701,45.59798664
283,4017,70.94967177,3,0.640059701,45.41202573
796,1249,70.7641629,3,0.640059701,45.29328898
680,842,70.54766934,3,0.640059701,45.15472018
842,759,70.47474325,3,0.640059701,45.10804313
395,766,70.44186047,3,0.640059701,45.08699619
849,424,70.16303316,3,0.640059701,44.90853006
560,712,69.74214946,3,0.640059701,44.63913936
397,253,69.67773311,3,0.640059701,44.59790906
519,452,69.48462929,3,0.640059701,44.47431108
629,2009,69.38785022,3,0.640059701,44.4123667
758,57,69.29498175,3,0.640059701,44.35292533
785,619,69.10201083,3,0.640059701,44.22941242
677,362,68.88779957,3,0.640059701,44.09230443
436,1198,68.50496353,3,0.640059701,43.84726651
735,336,68.38455909,3,0.640059701,43.77020048
296,775,68.04619165,3,0.640059701,43.55362512
750,4028,68.01735358,3,0.640059701,43.53516703
171,892,67.86915239,3,0.640059701,43.44030942
788,4014,67.69989192,3,0.640059701,43.33197261
711,3723,67.63238334,3,0.640059701,43.28876309
581,3607,67.537783,3,0.640059701,43.22821323
649,617,67.50129374,3,0.640059701,43.20485792
819,393,67.27540501,3,0.640059701,43.06027565
234,1083,67.11391476,3,0.640059701,42.95691225
585,194,67.0056231,3,0.640059701,42.88759912
755,845,66.85283019,3,0.640059701,42.78980254
733,786,66.58031368,3,0.640059701,42.6153757
696,192,66.54364559,3,0.640059701,42.59190593
45,55,65.88386467,3,0.640059701,42.16960675
738,417,65.64336824,3,0.640059701,42.01567468
108,1235,65.59072709,3,0.640059701,41.9819812
725,3759,65.30947054,3,0.640059701,41.80196022
433,356,65.24390244,3,0.640059701,41.75999272
576,2059,65.23374313,3,0.640059701,41.75349016
279,84,65.23342704,3,0.640059701,41.75328784
632,159,65.11087616,3,0.640059701,41.67484796
218,693,65.03654018,3,0.640059701,41.62726849
541,89,64.94002762,3,0.640059701,41.56549469
778,808,64.4932192,3,0.640059701,41.27951063
813,3745,64.20607267,3,0.640059701,41.09571971
787,444,64.04216074,3,0.640059701,40.99080629
614,670,63.52555043,3,0.640059701,40.66014485
230,2012,63.3453041,3,0.640059701,40.54477643
319,862,63.19444444,3,0.640059701,40.44821724
802,3569,63.17290486,3,0.640059701,40.43443063
260,354,63.12135291,3,0.640059701,40.4014343
731,2030,63.01514462,3,0.640059701,40.33345465
635,741,63.01258982,3,0.640059701,40.33181943
634,36,62.90971039,3,0.640059701,40.26597045
757,769,62.90476695,2,0.640059701,40.26280636
925,1132,62.84735789,2,0.640059701,40.22606113
149,1262,62.60709914,2,0.640059701,40.07228119
892,457,62.39318687,2,0.640059701,39.93536456
838,1155,62.11129296,2,0.640059701,39.75493563
484,1115,62.03445403,2,0.640059701,39.70575413
772,595,62.01848863,2,0.640059701,39.69553532
578,2014,61.81865285,2,0.640059701,39.56762849
651,2052,61.78744939,2,0.640059701,39.54765641
767,86,61.7630448,2,0.640059701,39.53203602
922,664,61.69326351,2,0.640059701,39.48737183
740,4008,61.49663255,2,0.640059701,39.36151627
921,865,61.46993475,2,0.640059701,39.34442809
840,597,61.44007948,2,0.640059701,39.32531893
636,777,61.34156821,2,0.640059701,39.26226584
663,783,61.32813095,2,0.640059701,39.25366519
341,193,61.22462331,2,0.640059701,39.18741412
530,1175,61.17905177,2,0.640059701,39.15824561
577,372,60.87095061,2,0.640059701,38.96104248
846,262,60.84204952,2,0.640059701,38.94254405
794,358,60.71182829,2,0.640059701,38.85919469
792,555,60.68791855,2,0.640059701,38.84389103
741,3561,60.61979167,2,0.640059701,38.80028576
811,76,60.56709655,2,0.640059701,38.76655774
532,144,60.20445415,2,0.640059701,38.53444495
575,303,60.19474713,2,0.640059701,38.52823188
414,74,59.81235711,2,0.640059701,38.28347944
537,220,59.79824561,2,0.640059701,38.27444723
895,297,59.79417698,2,0.640059701,38.27184307
64,1146,59.75490196,2,0.640059701,38.24670471
834,1072,59.65613183,2,0.640059701,38.18348593
807,794,59.44654882,2,0.640059701,38.04934029
549,1176,59.27856971,2,0.640059701,37.94182363
579,823,59.06975852,2,0.640059701,37.80817201
556,94,59.05085384,2,0.640059701,37.79607188
815,1046,58.9328143,2,0.640059701,37.72051953
419,2008,58.90150412,2,0.640059701,37.70047914
403,237,58.87990282,2,0.640059701,37.68665302
933,730,58.85185983,2,0.640059701,37.66870384
885,4012,58.70742293,2,0.640059701,37.5762556
826,599,58.48242745,2,0.640059701,37.43224506
812,810,58.28054299,2,0.640059701,37.30302695
836,223,57.68014706,2,0.640059701,36.91873771
896,139,57.60662805,2,0.640059701,36.87168115
396,465,57.32325733,2,0.640059701,36.69030698
481,1287,57.18287087,2,0.640059701,36.60045126
765,422,56.74303977,2,0.640059701,36.3189331
563,453,56.66642509,2,0.640059701,36.26989513
437,406,81.61100716,2,0.444,36.23528718
622,2050,56.57882225,2,0.640059701,36.21382408
678,398,55.85669782,2,0.640059701,35.75162133
454,324,55.76632994,2,0.640059701,35.69378049
315,442,55.47842614,2,0.640059701,35.50950487
864,407,55.47072812,2,0.640059701,35.50457768
685,2016,55.35209196,2,0.640059701,35.42864346
402,1143,55.31068931,2,0.640059701,35.40214329
809,1202,55.28451814,2,0.640059701,35.38539218
861,4204,55.20413437,2,0.640059701,35.33394177
862,667,54.82247765,2,0.640059701,35.08965868
753,870,54.64834851,2,0.640059701,34.97820563
364,705,54.4076555,2,0.640059701,34.82414774
417,37,54.30330753,2,0.640059701,34.75735881
905,1227,54.24888928,2,0.640059701,34.72252788
762,257,54.20606061,2,0.640059701,34.69511497
863,3824,54.1722488,2,0.640059701,34.6734734
